time,yaw,accelerationX,accelerationY,accelerationZ
source
4.678,35.5,0.03,-0.14,-0.34
4.71,35.5,0.03,-0.12,-0.31
4.742,35.5,0.03,-0.14,-0.31
4.774,35.5,0.03,-0.14,-0.32
4.806,35.5,0.02,-0.14,-0.35
4.838,35.5,0.01,-0.12,-0.32
4.87,35.5,0.04,-0.11,-0.34
4.902,35.5,0.02,-0.11,-0.32
4.934,35.5,-0.36,-5.98,4.04
4.986,35.625,-0.29,-6.97,0.46
5.018,35.625,0.08,-7.48,-1.08
5.05,35.9375,-0.05,-5.94,0.45
5.082,36.0625,0.65,-4.98,0.85
5.114,35.25,0.6,-5.29,-0.36
5.187,34.0625,1.75,-2.83,1.4
5.219,29.625,2.56,-3.08,1.44
5.251,27.5,2.99,-2.86,-0.86
5.282,25.25,2.2,-3.1,0.12
5.314,22.75,2.7,-1.93,-0.68
5.387,20.25,8.55,-1.78,-1.68
5.419,12.75,4.56,-1.45,-2.62
5.451,9.3125,3.7,-2.55,-0.79
5.483,6.3125,-3.86,-4.17,-5.03
5.515,3.75,-0.49,-7.53,-7.79
5.587,1.0625,5.94,-1.64,2.1
5.619,355.9375,2.94,-2.12,0.11
5.651,353.9375,1.04,-1.52,0.11
5.683,351.8125,5.5,-1.59,0.96
5.715,349.875,-2.06,-4.4,0.22
5.787,348.4375,-0.26,-2.48,1.58
5.819,347.3125,0.73,-2.51,-1.55
5.851,347.125,0.97,-2.95,-2.39
5.883,347,0.89,1.16,6.17
5.915,346.8125,0.96,1.13,5.5
5.988,346.8125,1.99,-2.26,-2.39
6.02,347.1875,-0.09,-1.57,-2.2
6.051,347.25,-0.25,-1.46,2.06
6.083,347.1875,-0.38,-2.78,-1.36
6.115,347.125,0.53,-1.21,0.15
6.188,347.625,-9.29,1.83,2.37
6.22,356.1875,-5.94,-0.47,-3.2
6.252,0,-5.36,-0.64,-2.62
6.284,3.6875,-7.52,4.88,3.6
6.316,7.375,-7.67,1.51,-0.36
6.388,10.875,-5.51,1.96,-0.35
6.42,19.875,-6.82,-1.35,-2.44
6.472,23.25,-5.31,0.32,-1.01
6.504,28.9375,-1.77,-1.13,-1.7
6.536,32.3125,-7.5,1.62,0.22
6.588,35.8125,-4.51,2.13,1.23
6.62,42.8125,-2.25,-2.99,2.51
6.652,45.6875,-8.02,3.05,0.99
6.684,49,1.68,-2.5,-0.07
6.716,52.375,-8.49,3.57,0.45
6.788,55.6875,-5.35,-0.09,-1.07
6.821,64.375,-3.48,2.72,-1.13
6.853,67.5,-5.21,0.66,-2.53
6.885,70.6875,-2.36,-0.97,0.28
6.917,74,-1.67,1.48,4.7
6.989,82.1875,-5.28,2.88,2.48
7.021,85.4375,-6.06,1.38,0.74
7.054,88.5,-5.41,-0.41,0
7.086,91.5625,-4.98,1.65,1.35
7.118,94.75,-0.34,-1.16,-0.28
7.15,98.625,-3.46,-0.34,-1.61
7.182,101.6875,-4.14,-1.51,-1.73
7.214,104.5625,0.04,0.65,0.55
7.246,106.875,0.04,-1.05,-1.44
7.278,108.1875,-1.43,-0.02,1.27
7.31,108.6875,-1.38,-1.95,-1.12
7.342,108.875,-0.92,-2.91,-0.04
7.373,109,-1.96,-0.55,-0.58
7.405,109.125,0.53,0.64,-1.47
7.438,109.0625,-0.6,0.47,-2.02
7.49,108.625,-0.56,1.14,-1
7.522,108.5,-1.28,1.61,-0.79
7.554,108.5,-0.72,-1.3,-1.27
7.586,108.625,-0.98,-1.47,2.82
7.618,108.5,1.27,-0.23,-0.26
7.65,106.75,2.68,5.92,0.59
7.682,103.8125,4.76,-1.47,-3.26
7.714,100,4.68,0.03,-3.12
7.746,95.625,4.02,2.42,1.09
7.778,90.875,1.39,3.08,3.23
7.851,74.4375,2.9,0.47,-4.11
7.883,67.6875,10.03,4.76,0.42
7.915,60.75,7.87,0.81,-5.5
7.947,54.125,7.36,0.75,-0.86
7.979,47.8125,8.99,4.6,-0.34
8.051,30.9375,11.99,2.48,0.69
8.083,24.625,11.21,0.7,0.32
8.115,18.5625,2.63,1.52,1.06
8.147,12.5625,3.56,0.97,0.05
8.179,7.5625,3.15,-1.65,-2.43
8.211,3.75,0.01,-5.9,-0.74
8.243,2.375,1.92,-3.37,0.49
8.275,1.6875,0.25,-2.52,-0.67
8.307,1.375,0.29,-2.19,1.29
8.339,1.375,-6.06,4.12,1.02
8.391,8.25,-7.65,0.38,-4.2
8.423,13.8125,-7.19,-0.95,0.2
8.455,20.0625,-5.09,-1.45,0.35
8.487,25.625,-8.37,5.3,2.49
8.519,31.625,-6.69,-3.02,-2.23
8.551,39.1875,-8.85,0.33,-6.81
8.583,45.1875,-4.95,-1.9,-2.75
8.615,51.6875,-11.44,2.02,2.47
8.647,58.8125,-10.36,-2.42,-3.9
8.68,66.3125,-9.4,4.88,3.35
8.712,75.25,-6.4,-0.65,-3.31
8.744,81.875,-5.4,5.7,2.13
8.776,87.1875,-3.74,2.17,-2.26
8.808,93.125,-5.58,-3.69,-0.2
8.84,97.9375,-4.27,-0.21,-0.1
8.892,108.0625,-7.4,-1.55,-1.45
8.924,113.875,-5.93,-2.08,0.14
8.956,119.6875,-7.89,-0.46,0.31
8.988,125.625,-6.39,2.21,1.76
9.02,131.625,-6.96,-5.14,-2.69
9.092,147.5,-8.69,-0.33,1.17
9.124,153.4375,-5.56,-3.07,-1.24
9.156,159.125,-7.21,-3.39,-0.29
9.188,164.0625,-7.29,1.34,2.79
9.22,169.1875,-4.17,-1.76,-2.73
9.292,181.5625,-8.25,-3.52,-4.07
9.325,185.75,-13.7,1.33,-3.07
9.356,189.75,-2.93,-1.4,-0.54
9.388,193.375,-5.98,0,0.67
9.42,197.0625,-5.74,0.44,0.78
9.493,207.125,-1.59,-2.82,-0.14
9.525,211,-0.14,-0.51,0.78
9.557,214.9375,-3.84,1.1,0.1
9.589,218.75,-3.36,-0.64,0.76
9.621,222.5625,-6.47,-0.46,-0.28
9.673,229.375,1.37,-5.55,-4.01
9.705,231.875,-1.23,-1.42,1.57
9.737,233.75,-2.98,-2.96,-0.05
9.769,234.4375,-2.04,-2.55,1.76
9.801,234.875,-0.13,-2.29,0.27
9.853,235.25,1.08,-5.18,-5.1
9.885,235.4375,0.37,-2.93,-4.32
9.917,235.1875,3.41,-3.83,-5.25
9.949,235,-0.91,-3.78,-4.79
9.981,234.9375,-2.32,0.37,4.59
10.013,234.8125,-0.09,-1.73,-4.09
10.045,234.875,4.97,-3.44,-5.25
10.077,234.75,-0.63,-0.09,4.14
10.11,234.8125,6.33,0.36,2.54
10.142,234.3125,-0.26,-2.48,4.09
10.174,234.4375,0.49,-3.08,-4.54
10.205,234.875,0.83,0.46,2.43
10.237,235,-0.44,-3.54,-1.98
10.269,235.125,1.88,-3.59,-5.41
10.302,235.3125,0.28,-2.17,-1.02
10.354,235.5,-0.99,-1.4,4.62
10.386,235.5,0.41,-2.27,-4.09
10.418,235.9375,1.61,-2.44,-3.3
10.45,236,0.03,-1.96,-0.11
10.482,235.8125,-0.65,-0.77,-1.51
10.514,236.0625,-0.94,-1.64,3.94
10.546,236.4375,1.03,-3.6,-2.94
10.578,236.4375,0.31,-1.24,0.72
10.61,236.9375,-0.5,-2.39,0.06
10.643,236.9375,-0.19,-0.64,-0.19
10.675,236.9375,1.17,-1.62,-1.26
10.707,236.9375,1.08,-2.04,-1.77
10.739,236.9375,0.17,-1.69,1.71
10.771,236.9375,1.19,-1.59,-3.09
10.803,236.875,4.92,0.95,3.83
10.835,235.6875,5.42,1.01,-1.69
10.867,232.75,5.13,2.88,4.37
10.899,229.0625,7.31,2.72,3.5
10.931,225.3125,6.9,0.63,-3.46
10.963,221.625,8.55,1.44,2.04
10.995,216.9375,5.16,-0.09,-1.47
11.027,213.4375,4.24,0.87,2.01
11.059,209.9375,6.94,0.25,-3.46
11.09,206.4375,5.97,0.04,-4.11
11.123,203,7.3,-0.13,-0.64
11.155,198.375,6.03,-0.74,-3.91
11.187,195,6.56,-0.14,-2.09
11.219,191.5625,5.59,2.15,4.68
11.251,187.625,7.91,-0.5,-1.58
11.283,182.625,10.71,2.12,-3.96
11.315,174.625,9.12,-0.18,-0.65
11.347,168.625,7.51,2.1,1.15
11.379,162.6875,9.24,0.52,-6.32
11.411,157,7.29,-0.84,-4.35
11.443,151.375,8.63,3.57,3.7
11.495,145.6875,7.59,3.53,4.78
11.527,134.375,3.26,-1.04,-0.69
11.559,128.75,6.26,0.25,-3.09
11.591,123.25,7.02,-1.58,-4.86
11.623,117.75,6.98,0.27,-2.37
11.655,112.1875,5.66,-0.98,-0.5
11.687,105.0625,8.35,0.12,0.15
11.719,100.125,3.8,-0.41,-1.67
11.751,96.25,7.95,3.77,3.29
11.783,93,2.84,1.33,1.28
11.815,90.0625,7.18,-2.26,-2.11
11.847,86.125,1.56,-0.99,-1.05
11.879,83.0625,6.21,-1.62,-1.43
11.911,79.9375,5.39,-0.65,-2.08
11.943,76.9375,-0.22,1.49,1.28
11.975,73.875,4.07,-0.18,-0.12
12.007,69.8125,7.44,-0.29,-2.81
12.039,66.75,7.73,1.05,-0.56
12.071,63.5625,3.69,0.72,-0.39
12.103,60.625,1.95,0.77,-1.1
12.135,57.625,2.9,1.43,1.22
12.187,51.4375,3.31,0.01,1.72
12.219,48.5625,2.01,-1.59,2.09
12.251,46.4375,-1.74,-0.69,1.35
12.283,45.0625,0.12,0.54,0.18
12.315,44.375,0.74,-1.38,-2.81
12.347,44,-0.96,-1.62,1.03
12.379,43.9375,-0.03,-0.4,-1.4
12.411,43.875,-0.92,-1.7,-0.06
12.443,43.8125,0.11,-0.73,-2.33
12.475,43.75,0.06,-2.31,-2.01
12.507,43.6875,-0.66,-0.93,-1.12
12.539,43.625,1.04,-2.35,-2.17
12.572,43.4375,0.37,5.37,1.59
12.604,43.375,-2.81,3.65,-1.49
12.636,43.5,-0.45,4.61,2.16
12.668,43.625,-4.63,7.1,-0.63
12.699,44.75,-4.71,9.76,-0.71
12.731,47.375,-5.82,7.11,0.9
12.764,51,-6.09,3.88,-1.24
12.795,55.3125,-6.41,4.28,0.54
12.868,69.25,-7.73,1.96,1.61
12.9,75.4375,-8.17,-1.95,-0.54
12.932,82.0625,-5.17,1.93,-1.22
12.964,89.75,-8.4,2.47,0.18
12.996,98.1875,-8.59,-3.25,-0.56
13.068,122.1875,-6.69,8.69,7.21
13.1,131.1875,-5.86,-8.06,-4.94
13.132,139.5625,-2.22,-4.35,-4.94
13.164,147.5,-6.17,3.17,1.84
13.196,152.9375,-10.15,9.62,1.2
13.228,157.3125,-0.86,-2.43,-0.26
13.26,158.5625,0.86,-3.63,-2.13
13.292,159.0625,-0.83,-4.29,-0.17
13.324,159.375,0,-3.64,0.67
13.356,159.5,-0.8,-3.27,-1.28
13.409,159.75,-0.85,-3.15,-0.01
13.441,159.875,-0.36,-3.82,-0.27
13.473,160,0.13,-3.94,-1.59
13.505,159.75,0.8,-2.4,-0.3
13.537,159.5625,2.37,-4.2,-2.27
13.569,159.5,-1.36,-3.51,0.44
13.601,159.4375,-0.72,1.17,-1.54
13.633,159.375,-0.6,3.51,-3.4
13.665,159.25,-0.43,4.27,-1.66
13.697,159.125,-0.12,3.4,0.12
13.729,158.9375,-0.71,4.66,-0.03
13.761,158.8125,-0.81,4.48,-0.41
13.793,158.8125,-3.93,4.84,-3.57
13.825,160.3125,-3.53,7.32,4.73
13.857,162.5625,-6.12,-3.29,-1.51
13.909,170.3125,-6.91,-1.38,-2.55
13.941,175.6875,-3.89,-0.34,0.96
13.973,181.5625,-8.43,0.16,-1.21
14.005,187.9375,-3.3,-2.5,-0.91
14.037,194.375,-8.89,-2.75,-0.29
14.069,202.9375,-7.77,-1.64,-0.59
14.101,209.6875,-5.89,-0.61,2.1
14.133,216.5,-9.65,-2.08,-2.44
14.165,223.3125,-7.64,-3.14,-1.78
14.217,230.375,-4.73,2.75,-0.89
14.27,248.5625,-4.96,-6.13,-0.92
14.302,254.9375,-0.48,-7.05,-2.03
14.334,260.4375,-8.86,1.42,1.16
14.366,265.3125,2.91,-6.62,0.58
14.398,269.3125,-1.88,-1.93,1.25
14.43,273.0625,-1,-2.59,1.33
14.462,275.5,0.22,-2.48,0.54
14.494,277.6875,0.51,-1.84,1.98
14.526,280.0625,-3.07,-2.83,-0.29
14.558,282.3125,-0.04,-3.41,1.21
14.59,285.4375,-4.36,-1.6,1.11
14.622,287.8125,-4.36,-2.07,2.35
14.654,290.125,-2.5,-2.32,0.53
14.686,292.625,-2.49,-3.17,-0.92
14.718,295.125,-9.02,-0.96,-1.88
14.77,300.25,-3.85,0.68,1.51
14.803,303,-0.6,-2.33,-1.93
14.835,305.625,-5.82,-2.71,-1.27
14.867,308.3125,-2.35,-3.75,-2.6
14.899,311.1875,-1.51,-1.03,1.38
14.971,318.75,-8.98,3.02,0.14
15.003,321.4375,-7.61,-3.9,-1.77
15.035,324,-4.2,0.21,-0.8
15.067,326.75,-6.15,-2.2,-1.57
15.099,329.5625,-4.21,-1.42,1.99
15.171,336.875,-5.74,-0.42,0.86
15.203,339.5625,-4.49,-1.96,1.26
15.235,342.25,0.66,-0.9,0.21
15.267,345,-4.31,-0.66,-1.38
15.299,347.75,-5.32,1.9,3.51
15.371,354.875,-2.79,-1.1,1.29
15.403,357.3125,-0.72,-2.13,-4.01
15.435,358.3125,0.48,-3.78,-5.93
15.468,358.5,4.33,-1.75,-5.24
15.5,356.5625,2.81,-1.67,-1.99
15.531,354.0625,3.98,-1.12,-1.23
15.563,352.3125,3.75,1.53,1.08
15.595,350.5,3.63,-0.82,0.79
15.628,348.75,5.12,-0.25,-0.7
15.66,347,4.37,-0.45,1.6
15.692,344.5625,-2.32,-0.86,1.88
15.724,343.0625,2.85,-0.02,-0.16
15.756,341.0625,3.13,-1.34,-1.01
15.788,339.1875,4.21,0.12,2.05
15.82,337.6875,4.36,-0.8,-2.21
15.852,335.625,4.12,-0.28,2.89
15.884,333.8125,-2.19,-0.12,3.06
15.916,332.5,5.22,-0.28,-1.1
15.948,330.5625,8.89,-0.03,-2.93
15.98,329.3125,2.26,-2.74,0.98
16.012,327.0625,1.84,-2.37,-6.51
16.044,325.3125,4.22,2.6,6.71
16.076,323.5625,3.08,1.4,5.63
16.108,321.6875,5.89,-0.11,-2.55
16.14,320,4.71,-2.61,-5.37
16.192,316.6875,3.58,-1.37,-2.18
16.224,314.75,3.79,-1.73,-1.24
16.256,313,2.21,-0.31,-1.22
16.288,311.1875,0.57,0.74,2.27
16.321,309.1875,-0.04,0.61,-0.14
16.353,306.75,-0.14,-0.5,1.96
16.385,305.0625,3.63,-1.95,-3.72
16.417,303.4375,8.67,-0.52,-0.95
16.449,301.625,5.89,-2.65,0.86
16.501,299.9375,7.77,-0.62,-3.26
16.533,296.625,2.24,2.01,1.12
16.565,296.3125,0.21,1.29,4.16
16.597,296.3125,0.49,-1.88,0.2
16.629,296.6875,1.38,-3.19,-3.6
16.702,296.875,-0.45,-2.93,0.89
16.734,296.875,1.03,-2.97,-3.06
16.766,296.8125,0.75,-2.26,3.45
16.798,296.75,1.5,-2.86,-3.7
16.83,296.6875,0.47,-2.28,-1.7
16.882,296.6875,1.27,-1.51,-1.67
16.914,296.6875,0.47,-3.26,-1.39
16.946,296.5625,6.55,6.82,-2.35
16.978,293.4375,0.19,-5.09,-4.28
17.01,286.5625,11.05,-2.61,-1.64
17.063,275.1875,9.71,0.22,-0.42
17.095,271.125,4.34,-0.5,-3
17.127,266.875,10.2,3.94,-1.16
17.159,262.0625,9.3,1.73,2.71
17.191,257,10.64,-0.11,-5.74
17.263,243.625,7.81,3.26,2.57
17.295,238.9375,6.12,-0.27,1.53
17.327,234.25,8.05,-0.35,-3.3
17.359,229.5625,9.65,-0.73,-3.3
17.391,224.8125,5.9,-0.97,0.01
17.423,218.5,-2.39,-2.47,-4.58
17.455,213.875,7.05,-0.04,-0.48
17.487,209.25,6.5,0.55,2.2
17.519,204.5625,8.03,-0.66,-4.18
17.551,199.9375,7.2,-2.18,-2.92
17.603,193.6875,8.05,3.09,6.05
17.635,187.3125,5.58,1.75,6.8
17.667,185.4375,0.77,0.82,-4.62
17.699,184.6875,0.35,-3.5,-4.76
17.731,184.375,-0.71,-2.71,-0.65
17.763,184.125,-1.35,-2.8,-1.68
17.795,184.0625,0.19,-3.84,-1.95
17.827,183.9375,0.24,-1.06,2.95
17.859,183.875,-0.79,-1.04,-1.43
17.891,183.875,-0.6,-1.56,-3.11
17.943,183.75,-2.82,-2.77,-1.04
17.975,184.0625,-0.79,-2.2,-0.55
18.007,184,-1.03,-3.22,0.88
18.039,184,-0.51,-3.17,-1.67
18.071,184,-0.24,0,3.32
18.143,184.0625,-0.41,-2.04,-3.05
18.175,184,-1.92,-2.29,2.39
18.207,184.0625,-0.53,-0.56,-4
18.239,184.0625,-1.42,1.55,3.46
18.271,184.0625,1.64,8.32,1.37
18.324,183.9375,1.15,3.65,-5.36
18.356,183.75,-0.27,3.87,-0.76
18.388,183.75,-0.54,6.47,0.15
18.42,183.75,1.17,3.91,-1.65
18.452,183.75,-0.39,0.83,0.84
18.504,183.8125,-0.51,-2.81,3.17
18.536,184.0625,1.45,-0.54,1.95
18.568,181.5,3.05,6.08,2.92
18.6,176.5,9.33,6.16,3.89
18.632,170.9375,8.06,2.12,1.02
18.704,165.25,7.39,0.99,1.95
18.736,150.25,8.81,1.15,2.38
18.768,144.875,6.63,1.78,2.86
18.8,139.75,4,3.4,3.65
18.832,134.875,2.59,0.67,4.85
18.864,130.1875,8,0.12,-1.9
18.896,124.1875,3.69,-2.62,-2.38
18.928,119.625,7.35,-1.62,-2.08
18.96,115,4.96,-0.91,-1.49
18.992,110.375,6.37,0.37,-2.47
19.024,105.6875,6.14,-0.32,-1.41
19.096,93.875,5.12,-3.58,-2.76
19.128,89.8125,6.95,1.4,0.71
19.16,85.75,4.91,-1.64,-1.49
19.192,81.8125,7.67,-1.02,-3.99
19.224,77.8125,8.55,-0.45,-3.85
19.256,72,8.41,1.99,2.45
19.288,67.875,3.53,1.13,3.59
19.32,63.5,5.79,0.79,2.28
19.352,59.5625,1.88,2.98,4.34
19.384,55.5625,7.17,5.84,-0.32
19.416,50.3125,9.09,0.52,-5.57
19.447,46.25,4.5,-1.29,-4.31
19.479,42.5,5.86,0.35,1.92
19.511,39.25,6.51,-2,-3.26
19.543,35.6875,5.85,0.15,1.42
19.575,30.8125,5.07,-0.4,-3.88
19.607,27.125,6.3,-1.12,-6.63
19.639,23.375,9.05,-1.4,-4.63
19.671,19.625,15.44,4.77,5.96
19.703,15.8125,4.88,1.7,5.21
19.735,11.6875,3.16,0.06,-6.09
19.767,6.5,1.3,-0.98,-2.79
19.799,3.75,4.35,-6.13,-5.02
19.831,1.375,1.01,0.94,4.36
19.863,359.3125,4.94,-2.15,-3.42
19.895,357.125,4.09,-1.81,-3.52
19.947,352.4375,1.65,-1.14,7.29
19.979,350.6875,0.22,-0.8,-2.44
20.011,349.875,0.58,-2.58,-1.7
20.043,349.6875,0.36,-2.45,0.39
20.075,349.5625,1.48,-2.13,-2.83
20.128,349.375,0.72,-1.36,2.68
20.16,349.25,-0.21,-3.28,-1.55
20.192,349.25,0.32,-1.37,-3.23
20.224,349.5,1.01,0.26,3.96
20.255,349.625,0.48,-2.54,-3.74
20.328,349.625,-2.58,0.32,6.65
20.36,351.4375,-3.06,4.25,-3.13
20.392,355.25,-9.9,0.42,3.88
20.424,359.5,-8.89,1.71,-2.31
20.456,3.6875,-4,0.36,-3.29
20.488,9.0625,-10.98,3.87,-0.79
20.52,12.8125,-7.48,4.43,0.87
20.552,16.4375,-9.91,1.69,-0.02
20.584,20,-6.58,-2.62,-4.13
20.616,23.625,-5.38,1.86,3.82
20.648,28.625,-6.92,-1.54,-4.34
20.679,32.25,-5.76,-2.45,-3.33
20.712,36,-4.82,1.46,3.41
20.744,39.75,-9.44,-1.8,-1.48
20.776,43.625,5.42,-3.67,-3.65
20.808,47.9375,-4.83,-1.85,0.31
20.84,51.4375,-0.68,1.18,0.18
20.871,55.125,-5.49,5.06,0.33
20.904,58.625,0.77,-4.41,-2.04
20.936,62.125,-4.09,2.83,3.7
20.988,69.0625,1.76,-1.06,0.49
21.02,72.5,-6.45,2.58,-4.27
21.052,76.0625,-7.73,-0.49,-1.63
21.084,79.4375,-2.16,2.52,-0.19
21.116,82.625,-7.23,1.37,3.31
21.168,89.375,-2.82,2.34,4.12
21.2,92.6875,-7.03,1.59,-1.7
21.232,96,-9.7,-0.29,-2.3
21.264,99.25,-0.86,1.78,-0.69
21.296,102.4375,-4.75,0.32,3.25
21.328,106.625,-5.88,-1.04,-4.21
21.36,109.0625,-1.38,-2.99,-0.71
21.392,110.3125,0.61,-3.38,-2.99
21.424,110.6875,-1.33,-1.07,-0.14
21.456,110.8125,-0.39,-2.43,2.2
21.488,110.9375,0.3,-3.2,-2.18
21.52,111.0625,2.65,0.53,1.91
21.552,110.9375,3.12,0.01,1.11
21.584,110.625,0.19,-3.19,1.02
21.617,110.5625,0.34,-0.75,-0.46
21.648,110.5625,-1.08,-2.75,0.56
21.68,110.4375,6,0,-1.95
21.712,109.25,4.94,3.97,2.78
21.744,106.25,8.56,5.32,4.4
21.776,101.4375,5.27,0.68,3.25
21.829,96,3.45,3.26,-0.9
21.861,83.3125,11.03,3.71,0.94
21.893,75.375,10.39,4.34,2.78
21.925,67.25,10.84,4.73,-2.1
21.957,59.0625,10.84,2.47,-5.6
22.009,51.6875,5.13,-1.13,-0.64
22.041,38.0625,11.18,1.81,-0.37
22.073,31.3125,4.62,0.31,-1.56
22.105,24.75,4.37,3.11,2.16
22.137,18.4375,10.8,4.64,1.91
22.169,10.5,-2.22,-1.19,-0.61
22.202,6.625,-1.39,-0.67,-0.21
22.234,4.5625,-0.3,-3.42,-1.99
destination
22.266,3.75,-0.82,-1.1,-0.99
22.298,3.375,1.26,-3.1,-2.9
22.33,3.1875,-0.94,-1.52,1.79
22.362,5.25,-6.66,0.38,-3.1
22.394,10.625,-8.53,5.8,3.1
22.426,16.625,-7.74,3.18,0.21
22.458,23.25,-11.48,0.69,-3.14
